,case_number,prompt,evaluation_seed,artist
0,0,fork,3607,
1,1,fork,2244,
2,2,fork,3188,
3,3,fork,3639,
4,4,fork,1856,
5,5,fork,1092,
6,6,fork,1140,
7,7,fork,4115,
8,8,fork,3373,
9,9,fork,2227,
10,10,spoon,3509,
11,11,spoon,2442,
12,12,spoon,2161,
13,13,spoon,4704,
14,14,spoon,1351,
15,15,spoon,1615,
16,16,spoon,1122,
17,17,spoon,1309,
18,18,spoon,4718,
19,19,spoon,1552,
20,20,bowl,3720,
21,21,bowl,4676,
22,22,bowl,2297,
23,23,bowl,4975,
24,24,bowl,4096,
25,25,bowl,4618,
26,26,bowl,4536,
27,27,bowl,2969,
28,28,bowl,4901,
29,29,bowl,1464,
30,30,dining table,1466,
31,31,dining table,1362,
32,32,dining table,4418,
33,33,dining table,3567,
34,34,dining table,3870,
35,35,dining table,3111,
36,36,dining table,4266,
37,37,dining table,4030,
38,38,dining table,2028,
39,39,dining table,2163,
40,40,banana,3640,
41,41,banana,1124,
42,42,banana,3008,
43,43,banana,2158,
44,44,banana,4514,
45,45,banana,1997,
46,46,banana,4032,
47,47,banana,1615,
48,48,banana,1573,
49,49,banana,4092,
50,50,bottle,4592,
51,51,bottle,2186,
52,52,bottle,3420,
53,53,bottle,4319,
54,54,bottle,3748,
55,55,bottle,4941,
56,56,bottle,1914,
57,57,bottle,1840,
58,58,bottle,3158,
59,59,bottle,2804,
60,60,dog,2652,
61,61,dog,1322,
62,62,dog,4085,
63,63,dog,4911,
64,64,dog,4834,
65,65,dog,3033,
66,66,dog,1768,
67,67,dog,3202,
68,68,dog,1140,
69,69,dog,1043,
70,70,car,1087,
71,71,car,1467,
72,72,car,3944,
73,73,car,4581,
74,74,car,1467,
75,75,car,1002,
76,76,car,4837,
77,77,car,2846,
78,78,car,2669,
79,79,car,2463,
80,80,chair,3816,
81,81,chair,4737,
82,82,chair,2139,
83,83,chair,1048,
84,84,chair,2970,
85,85,chair,4357,
86,86,chair,3545,
87,87,chair,1209,
88,88,chair,2129,
89,89,chair,2461,
90,90,cell phone,3502,
91,91,cell phone,4199,
92,92,cell phone,3005,
93,93,cell phone,1968,
94,94,cell phone,1216,
95,95,cell phone,4400,
96,96,cell phone,3203,
97,97,cell phone,3182,
98,98,cell phone,1742,
99,99,cell phone,1045,
